x,y
-0.341135,-0.0372345
-0.3337959,-0.0329835
-0.2405609,-0.0209751
-0.2181262,-0.0103482
-0.1616156,-0.0877895
-0.138684,-0.0383876
-0.13672,-0.0322836
-0.130819,-0.0474378
-0.0946212,-0.0354024
-0.0768551,-0.0263853
-0.076667,-0.0268122
-0.0753576,-0.0267003
-0.0745996,-0.0273849
-0.1953108,-0.1404722
-0.0716657,-0.0281235
-0.0709632,-0.0268089
-0.0728657,-0.004423
-0.0656189,-0.0308346
-0.0851002,0.0246166
-0.072423,0.0636274
-0.0704542,0.0588036
-0.1085349,0.1639079
-0.1082811,0.1896054
-0.1545441,0.1499707
-0.258344,0.1573465
-0.2769045,0.1861049
-0.2689115,0.1700875
-0.2330413,0.1363743
-0.2209442,0.1254494
-0.2085442,0.1155073
-0.1970063,0.1076541
-0.1747722,0.0953732
-0.1541243,0.0863317
-0.1440162,0.0817912
-0.1329775,0.0768543
-0.1224834,0.073221
-0.1116794,0.0698727
-0.1009221,0.0672165
-0.0898085,0.0652108
-0.0790797,0.0642592
-0.0604055,0.0650304
-0.0255026,0.0577038
0.0066412,0.0528649
0.01335,0.0557928
0.0181635,0.0525051
0.0251915,0.0508325
0.0269684,0.0492583
0.0268401,0.0480989
0.0286847,0.0472056
0.037727,0.0447899
0.061609,0.0429478
0.0643578,0.0438355
0.0666509,0.0433037
0.0685181,0.0435452
0.069009,0.044682
0.0707411,0.0458636
0.0748591,0.0469183
0.0801823,0.0480727
0.0867726,0.0491359
0.0936635,0.0499344
0.1011204,0.0507277
0.1084659,0.0521038
0.115015,0.0546773
0.1226296,0.0582006
0.1351211,0.0599349
0.1529589,0.0571421
0.1587622,0.0576316
0.1561882,0.0636933
0.1521948,0.0690346
0.1511784,0.0712077
0.1493685,0.0714058
0.1427915,0.0670373
0.1397743,0.064091
0.1349897,0.0622356
0.1288223,0.0613065
0.1240498,0.0598256
0.1204525,0.0575336
0.1169696,0.0545951
0.1135651,0.0524295
0.1108406,0.0514117
0.1089365,0.0508815
0.1070779,0.0507775
0.1057464,0.0509942
0.1054698,0.0513529
0.106606,0.0516269
0.1163929,0.0529365
0.1204788,0.0531996
0.1240739,0.0531685
0.1319858,0.0506784
0.1386417,0.0476827
0.147224,0.0432794
0.1578424,0.0375644
0.1814151,0.0294585
0.211741,0.026581
0.2127287,0.0244515
0.2062348,0.0192689
0.2034598,0.015884
0.1987571,0.0139892
0.1859681,0.0138753
0.1748804,0.0137643
0.1729715,0.0123448
0.1766901,0.0106095
0.1801795,0.0115739
0.1787728,0.0158151
0.1738234,0.019372
0.1686493,0.0209007
0.1624927,0.0231312
0.1552998,0.0260127
0.1497897,0.0278749
0.1475149,0.0283421
0.1480785,0.0285803
0.1497629,0.029309
0.1519336,0.030231
0.1544568,0.0310304
0.1570996,0.0322815
0.1605973,0.0339583
0.1697443,0.0373065
0.1775814,0.0376682
0.1869414,0.0368231
0.1972874,0.0346477
0.2285682,0.0249917
0.2322111,0.0221164
0.2328826,0.0216161
0.2319306,0.0243108
0.230208,0.0259199
0.2146832,0.0300841
0.2025556,0.0309205
0.1939473,0.029619
0.190656,0.0279434
0.1829396,0.0248247
0.1718007,0.0223184
0.1402908,0.0195797
0.1313127,0.0156826
0.1226488,0.0109873
0.1157757,0.0066658
0.1034032,-0.0001239
0.0978896,-0.0022556
0.0943642,-0.0035419
0.0941969,-0.0039018
0.0966516,-0.0039557
0.1023159,-0.0046976
0.1113247,-0.0060623
0.1239714,-0.0087559
0.1802879,-0.0143323
0.1630336,-0.0141056
0.1650705,-0.0152761
0.1637852,-0.0159417
0.1563405,-0.0172752
0.1586446,-0.0191814
0.1668927,-0.0194595
0.16804,-0.0174877
0.1616061,-0.0139899
0.1517435,-0.0083125
0.146626,-0.0032365
0.1433758,0.0027097
0.1431344,0.0081511
0.1453245,0.0128378
0.1499671,0.0167985
0.1556989,0.0201458
0.1691307,0.0256799
0.1769008,0.0274837
0.1853089,0.0290898
0.1966856,0.0289158
0.214335,0.0261444
0.2191755,0.0279229
0.2119844,0.0366599
0.2095447,0.0505089
0.2054045,0.053025
0.1981931,0.0549459
0.1922041,0.0541687
0.1876673,0.0507761
0.1824007,0.0460516
0.1755505,0.0421684
0.1692394,0.0395704
0.1512085,0.0274566
0.1441735,0.0209919
0.1376697,0.0136965
0.132083,0.0062827
0.1259296,-0.0014967
0.0452732,-0.0646153
0.0015385,-0.4745722
-0.1071638,-0.1820633
-0.0006695,-0.4184345
0.050756,-0.4616268
0.0479955,-0.4530682
0.1078352,-0.1428289
0.1380832,-0.1520116
0.1441012,-0.177001
0.1635184,-0.2342044
0.1825804,-0.2391811
0.2282449,-0.2490632
0.3591262,-0.2886535
0.4198897,-0.2238942
0.4218643,-0.2033726
0.4173262,-0.2081596
0.403391,-0.223407
0.4181633,-0.1788984
0.378247,-0.1993009
0.3798948,-0.1788547
0.3461339,-0.1995242
0.3271711,-0.1686092
0.2264382,-0.1476004
0.2105337,-0.111673
0.2712917,-0.0789053
0.2513629,-0.0301781
0.2347855,0.0104402
0.1969687,0.1065274
0.1478692,0.0757582
0.2408956,0.074286
0.2212972,0.1225363
0.2290447,0.1226615
0.2476882,0.1062925
0.2738147,0.1142586
0.2849391,0.1406674
0.6000321,0.1278944
0.5852432,0.1079552
0.5518652,0.1805173
0.5018131,0.1950096
0.4875634,0.1442557
0.4771383,0.1539143
0.4368954,0.1062451
0.3712802,0.1526117
0.3449732,0.1534304
0.3413016,0.1004209
0.2868464,0.1197198
0.2682501,0.1338619
0.2207815,0.0576839
0.196335,0.0761813
0.0883833,0.065659
0.0569592,0.0507297
0.0971105,0.0337873
0.0736231,0.021384
0.1593232,0.0079387
0.1375282,-0.0008774
0.1382307,-0.0191288
0.1592607,-0.0595682
0.1793786,-0.09385
0.18192,-0.113676
0.1810196,-0.1354099
0.0441251,-0.3810216
0.1126575,-0.3663756
0.1282634,-0.189481
0.1789445,-0.336749
0.0879688,-0.3614197
0.1486408,-0.3344512
0.1139274,-0.3340911
0.1011575,-0.3237118
0.1262197,-0.2437213
0.2497502,-0.3467338
0.2173124,-0.3068766
0.3847758,-0.2438041
0.3451874,-0.2928775
0.365997,-0.259693
0.3290534,-0.2918321
0.3264375,-0.2945602
0.3304461,-0.2728435
0.3345831,-0.2320492
0.2879427,-0.3196413
0.2772607,-0.345054
0.2915022,-0.3193246
0.2581657,-0.2171973
0.2313651,-0.2055629
0.1944927,-0.2242365
0.1811839,-0.1935412
0.037087,-0.2695932
0.0856341,-0.1284959
0.106073,-0.1093491
0.0938225,-0.0503208
0.1093409,-0.0345262
0.2148811,-0.0104671
0.120371,0.0054589
0.1328501,0.0391056
0.1917285,0.0540354
0.1647184,0.1095995
0.2034367,0.1165668
0.1781208,0.166276
0.154665,0.1972409
0.1462394,0.1744705
0.0972786,0.142145
0.0505776,0.1346972
0.0551467,0.1053715
-0.0273793,-0.381403
-0.1041548,-0.1800067
-0.1582957,-0.1149582
-0.121473,-0.151608
-0.1523503,-0.1155598
-0.1334341,-0.1300656
-0.1340183,-0.0996238
-0.0234613,-0.348118
-0.0937711,-0.3271078
-0.0800207,-0.2866058
-0.0263005,-0.2515592
0.0849586,-0.2325808
0.1827789,-0.244903
0.1947335,-0.2403017
0.2372048,-0.2355569
0.2031063,-0.2511955
0.2124556,-0.2511575
0.1599149,-0.2583319
0.1000703,-0.1997309
0.0946039,-0.1674112
0.0377639,-0.1866071
0.0592923,-0.1739364
0.0823697,-0.1617978
-0.0426952,-0.2466272
0.067451,-0.1322543
0.036614,-0.1198363
-0.0821317,-0.2231224
-0.0095048,-0.2369747
-0.05696,-0.2270986
-0.0488167,-0.120029
-0.0462919,-0.1172568
0.0199862,-0.1231877
0.0825175,-0.1360285
0.1095911,-0.0921741
0.1530535,-0.0593367
0.2097537,0.0784238
0.2381573,0.0029759
0.2697659,0.0210706
0.2728226,0.0244683
0.2530587,0.0539074
0.3277411,0.1319497
0.3148423,0.1520353
0.3168993,0.0881166
0.2801811,0.2538379
